course name,duration,rating,advantage,course link
"Getting Started with Amazon QuickSight4.61 hrsCompletion CertificateEarn up to $173,488",1 hrs,4.6,"Completion CertificateEarn up to $173,488",https://www.simplilearn.com/free-amazon-quicksight-course-skillup
"Getting Started with Amazon GuardDuty4.71 hrsCompletion CertificateEarn up to $148,716",1 hrs,4.7,"Completion CertificateEarn up to $148,716",https://www.simplilearn.com/free-aws-guardduty-course-skillup
"Amazon FSx for Lustre Primer4.51 hrsCompletion CertificateEarn up to $189,501",1 hrs,4.5,"Completion CertificateEarn up to $189,501",https://www.simplilearn.com/free-aws-fsx-course-skillup
"Introduction to Amazon SageMaker4.31 hrsCompletion CertificateEarn up to $145,041",1 hrs,4.3,"Completion CertificateEarn up to $145,041",https://www.simplilearn.com/free-aws-sagemaker-course-skillup
"Getting Started with Network Load Balancer (NLB)4.31 hrsCompletion CertificateEarn up to $148,163",1 hrs,4.3,"Completion CertificateEarn up to $148,163",https://www.simplilearn.com/free-aws-network-load-balancer-course-skillup
"AWS Lambda Foundations4.41 hrsCompletion CertificateEarn up to $145,041",1 hrs,4.4,"Completion CertificateEarn up to $145,041",https://www.simplilearn.com/free-aws-lambda-course-skillup
"Amazon Elastic File System (Amazon EFS) Primer4.31 hrsCompletion CertificateEarn up to $188,279",1 hrs,4.3,"Completion CertificateEarn up to $188,279",https://www.simplilearn.com/free-aws-efs-course-skillup
"Introduction to Amazon Elastic Load Balancer - Application4.81 hrsCompletion CertificateEarn up to $278,000",1 hrs,4.8,"Completion CertificateEarn up to $278,000",https://www.simplilearn.com/free-aws-elb-course-skillup
"Introduction to Amazon Elastic MapReduce (EMR)4.31 hrsCompletion CertificateEarn up to $98,000",1 hrs,4.3,"Completion CertificateEarn up to $98,000",https://www.simplilearn.com/free-aws-elastic-mapreduce-course-skillup
"Introduction to Amazon Mechanical Turk3.91 hrsCompletion CertificateEarn up to $278,000",1 hrs,3.9,"Completion CertificateEarn up to $278,000",https://www.simplilearn.com/free-amazon-mechanical-turk-course-skillup
"Introduction to Amazon CloudFront4.31 hrsCompletion CertificateEarn up to $148,163",1 hrs,4.3,"Completion CertificateEarn up to $148,163",https://www.simplilearn.com/free-amazon-cloudfront-course-skillup
"Introduction to Amazon Elastic Compute Cloud (EC2)4.61 hrsCompletion CertificateEarn up to $98,000",1 hrs,4.6,"Completion CertificateEarn up to $98,000",https://www.simplilearn.com/free-aws-ec2-course-skillup
"Introduction To Amazon Virtual Private Cloud (VPC)4.11 hrsCompletion CertificateEarn up to $148,163",1 hrs,4.1,"Completion CertificateEarn up to $148,163",https://www.simplilearn.com/free-amazon-virtual-private-cloud-skillup
"Introduction to Amazon Inspector4.71 hrsCompletion CertificateEarn up to $145,041",1 hrs,4.7,"Completion CertificateEarn up to $145,041",https://www.simplilearn.com/free-aws-inspector-course-skillup
"Amazon DynamoDB Service Introduction3.11 hrsCompletion CertificateEarn up to $98,000",1 hrs,3.1,"Completion CertificateEarn up to $98,000",https://www.simplilearn.com/free-aws-dynamodb-course-skillup
"Introduction to AWS Identity and Access Management (IAM)4.41 hrsCompletion CertificateEarn up to $182,574",1 hrs,4.4,"Completion CertificateEarn up to $182,574",https://www.simplilearn.com/free-aws-iam-course-skillup
"Introduction to AWS Security Token Services (STS)4.41 hrsCompletion CertificateEarn up to $148,163",1 hrs,4.4,"Completion CertificateEarn up to $148,163",https://www.simplilearn.com/free-aws-security-token-services-course-skillup
"Introduction to AWS Batch4.31 hrsCompletion CertificateEarn up to $188,279",1 hrs,4.3,"Completion CertificateEarn up to $188,279",https://www.simplilearn.com/free-aws-batch-course-skillup
"Introduction to Amazon Direct Connect4.31 hrsCompletion CertificateEarn up to $278,000",1 hrs,4.3,"Completion CertificateEarn up to $278,000",https://www.simplilearn.com/free-aws-direct-connect-course-skillup
"Getting Started with Amazon Redshift4.61 hrsCompletion CertificateEarn up to $188,279",1 hrs,4.6,"Completion CertificateEarn up to $188,279",https://www.simplilearn.com/free-amazon-redshift-course-skillup
"Introduction to Amazon Route534.51 hrsCompletion CertificateEarn up to $188,518",1 hrs,4.5,"Completion CertificateEarn up to $188,518",https://www.simplilearn.com/free-amazon-route-53-course-skillup
"Getting Started with AWS Config4.81 hrsCompletion CertificateEarn up to $182,171",1 hrs,4.8,"Completion CertificateEarn up to $182,171",https://www.simplilearn.com/free-aws-config-course-skillup
"Introduction to Amazon Connect and the Connect Control Panel (CCP)4.61 hrsCompletion CertificateEarn up to $105,008",1 hrs,4.6,"Completion CertificateEarn up to $105,008",https://www.simplilearn.com/free-amazon-connect-course-skillup
"Introduction to Amazon WorkDocs3.81 hrsCompletion CertificateEarn up to $127,713",1 hrs,3.8,"Completion CertificateEarn up to $127,713",https://www.simplilearn.com/free-amazon-workdocs-course-skillup
"Introduction to AWS Management Console4.51 hrsCompletion CertificateEarn up to $188,279",1 hrs,4.5,"Completion CertificateEarn up to $188,279",https://www.simplilearn.com/free-aws-management-console-course-skillup
"Introduction to AWS Fargate4.41 hrsCompletion CertificateEarn up to $188,279",1 hrs,4.4,"Completion CertificateEarn up to $188,279",https://www.simplilearn.com/free-aws-fargate-course-skillup
"Introduction To Amazon Polly4.81 hrsCompletion CertificateEarn up to $130,416",1 hrs,4.8,"Completion CertificateEarn up to $130,416",https://www.simplilearn.com/free-amazon-polly-course-skillup
Introduction to AWS Marketplace4.61 hrsCompletion Certificate,1 hrs,4.6,Completion Certificate,https://www.simplilearn.com/free-aws-marketplace-course-skillup
"Introduction to Amazon Simple Notification Service (SNS)4.41 hrsCompletion CertificateEarn up to $188,279",1 hrs,4.4,"Completion CertificateEarn up to $188,279",https://www.simplilearn.com/free-aws-simple-notification-service-course-skillup
"Introduction to Step Functions3.91 hrsCompletion CertificateEarn up to $188,279",1 hrs,3.9,"Completion CertificateEarn up to $188,279",https://www.simplilearn.com/free-aws-step-functions-course-skillup
"Introduction to Amazon Elastic Container Registry3.91 hrsCompletion CertificateEarn up to $164,774",1 hrs,3.9,"Completion CertificateEarn up to $164,774",https://www.simplilearn.com/free-amazon-elastic-container-registry-course-skillup
"Introduction to AWS Trusted Advisor4.91 hrsCompletion CertificateEarn up to $188,279",1 hrs,4.9,"Completion CertificateEarn up to $188,279",https://www.simplilearn.com/free-aws-trusted-advisor-course-skillup
"Introduction to AWS X-Ray4.81 hrsCompletion CertificateEarn up to $164,774",1 hrs,4.8,"Completion CertificateEarn up to $164,774",https://www.simplilearn.com/free-aws-x-ray-course-skillup
"Amazon Aurora Service Introduction4.41 hrsCompletion CertificateEarn up to $164,774",1 hrs,4.4,"Completion CertificateEarn up to $164,774",https://www.simplilearn.com/free-amazon-aurora-service-course-skillup
"Getting Started with AWS CloudTrail4.41 hrsCompletion CertificateEarn up to $188,279",1 hrs,4.4,"Completion CertificateEarn up to $188,279",https://www.simplilearn.com/free-aws-cloudtrail-course-skillup
